Profile_Index,Valid_Count,Gradient_RMSE_dBZ
603,3,0.31144542
604,1,
605,3,3.7725792
606,3,1.6421791
607,4,4.2892375
608,7,3.2889662
609,6,2.8169768
610,1,
611,7,1.5312127
612,7,3.1119523
613,6,1.5861162
614,8,7.3086925
615,5,3.371593
616,6,5.8417916
617,7,4.4576826
618,8,5.4718227
619,6,2.7458236
620,8,7.8558064
621,6,4.074104
622,2,
623,6,4.159423
624,7,4.695781
625,8,6.6685886
626,5,1.5217158
627,7,3.565394
628,7,3.8075755
629,4,3.9125564
630,1,
631,2,
632,4,4.805116
633,7,2.786044
634,7,4.837918
635,7,3.8162982
636,4,4.621282
637,3,4.2621946
638,6,4.42427
639,3,3.9305673
640,6,3.692249
641,6,2.7001655
642,7,3.8588269
643,6,1.8933513
644,5,1.7235028
645,2,
646,3,2.939828
647,4,2.7512617
648,2,
649,6,3.7202265
650,6,3.2425408
651,1,
652,5,2.0403037
653,6,3.4410772
654,5,1.630897
655,6,2.8723931
656,0,
657,0,
658,6,1.8196793
659,5,1.8558896
660,0,
661,3,0.56935763
662,3,2.7288406
663,6,3.11842
664,8,2.5589201
665,8,2.130489
666,9,3.2972784
667,8,2.616707
668,9,3.2879224
669,8,3.4230626
670,7,2.876625
671,3,3.034991
672,6,3.702586
673,0,
674,0,
675,0,
676,0,
677,0,
678,0,
679,0,
680,0,
681,0,
682,0,
683,0,
684,0,
685,2,
686,3,1.3195267
687,1,
688,0,
689,0,
690,0,
691,0,
692,0,
693,3,2.5005016
694,2,
695,4,1.6155205
696,7,1.822991
697,6,2.416787
698,6,2.0342627
699,5,3.246958
700,5,1.7425405
701,8,3.1053152
702,9,2.688283
703,3,6.860803
704,4,7.2709193
705,8,4.5597324
706,11,4.19462
707,10,3.5347931
708,9,2.145117
709,8,3.8977416
710,2,
711,5,6.283874
712,3,1.7905738
713,6,4.5474815
714,2,
715,7,3.0694988
716,4,2.253251
717,7,2.1921668
718,6,3.2832913
719,5,4.2220154
720,7,3.376486
721,6,1.4944065
722,5,0.6858684
723,5,5.6969233
724,5,4.2893248
725,0,
726,0,
727,0,
728,5,5.7989273
729,4,5.112649
730,0,
731,2,
732,3,3.7697089
733,1,
734,1,
735,1,
736,3,4.358815
737,3,5.1601048
738,3,2.6744318
739,4,5.5290985
740,8,2.180426
741,11,1.8499193
742,10,1.6934142
743,10,2.1777585
744,10,3.4173923
745,7,2.2093556
746,8,1.76554
747,7,2.767401
748,7,3.3745732
749,4,2.0045865
750,4,6.599926
751,2,
752,7,7.255472
753,8,5.1542463
754,8,4.0572786
755,5,5.19207
756,17,5.241312
757,18,5.1481147
758,14,3.517497
759,19,6.1179643
760,18,5.0945296
761,15,3.6518013
